Code,region,year,meanConsumptionPerHousehold,,,,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,2020,3670.20,,,,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,2019,3493.99,,,,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,2018,3519.98,,,,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,2017,3634.69,,,,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,2016,3682.07,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,2020,3923.50,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,2019,3719.67,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,2018,3774.75,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,2017,3883.27,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,2016,3921.49,,,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,2020,3891.30,,,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,2019,3716.94,,,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,2018,3770.63,,,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,2017,3883.40,,,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,2016,3948.42,,,,,,,,,,,,,,,,,,,,
E12000006,East,2020,4368.50,,,,,,,,,,,,,,,,,,,,
E12000006,East,2019,4124.86,,,,,,,,,,,,,,,,,,,,
E12000006,East,2018,4163.65,,,,,,,,,,,,,,,,,,,,
E12000006,East,2017,4273.36,,,,,,,,,,,,,,,,,,,,
E12000006,East,2016,4331.11,,,,,,,,,,,,,,,,,,,,
E12000007,London,2020,3701.40,,,,,,,,,,,,,,,,,,,,
E12000007,London,2019,3555.68,,,,,,,,,,,,,,,,,,,,
E12000007,London,2018,3603.68,,,,,,,,,,,,,,,,,,,,
E12000007,London,2017,3698.55,,,,,,,,,,,,,,,,,,,,
E12000007,London,2016,3739.74,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,2020,3446.20,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,2019,3339.81,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,2018,3406.71,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,2017,3499.79,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,2016,3534.07,,,,,,,,,,,,,,,,,,,,
E13000002,Outer London,2020,3892.00,,,,,,,,,,,,,,,,,,,,
E13000002,Outer London,2019,3716.35,,,,,,,,,,,,,,,,,,,,
E13000002,Outer London,2018,3749.76,,,,,,,,,,,,,,,,,,,,
E13000002,Outer London,2017,3844.73,,,,,,,,,,,,,,,,,,,,
