Code,region,meanConsumptionPerHousehold,,,,,,,,,,,,,,,,,,,,,"Mean domestic
consumption
(kWh per household)"
,,,,,,,,,,,,,,,,,,,,,,,"3,506.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,429.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,933.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,164.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,855.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,539.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,556.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,162.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,554.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,841.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,450.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,976.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,850.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,876.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,652.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,746.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,812.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,286.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,949.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,779.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,833.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,344.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,800.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,832.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,675.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,915.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,257.80"
,,,,,,,,,,,,,,,,,,,,,,,"5,087.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,801.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,917.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,728.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,348.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,696.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,718.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,962.30"
,,,,,,,,,,,,,,,,,,,,,,,"5,303.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,552.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,963.90"
,,,,,,,,,,,,,,,,,,,,,,,"5,390.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,365.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,738.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,942.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,574.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,675.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,391.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,835.40"
,,,,,,,,,,,,,,,,,,,,,,,"5,089.20"
,,,,,,,,,,,,,,,,,,,,,,,"5,177.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,867.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,908.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,066.20"
,,,,,,,,,,,,,,,,,,,,,,,"5,150.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,688.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,840.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,545.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,816.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,223.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,613.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,889.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,939.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,558.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,844.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,775.20"
,,,,,,,,,,,,,,,,,,,,,,,"5,263.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,735.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,869.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,409.30"
,,,,,,,,,,,,,,,,,,,,,,,"4,304.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,376.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,633.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,560.70"
,,,,,,,,,,,,,,,,,,,,,,,"5,394.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,305.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,597.30"
,,,,,,,,,,,,,,,,,,,,,,,"4,859.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,915.90"
,,,,,,,,,,,,,,,,,,,,,,,"5,761.30"
,,,,,,,,,,,,,,,,,,,,,,,"4,769.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,827.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,554.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,179.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,407.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,343.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,667.00"
,,,,,,,,,,,,,,,,,,,,,,,"8,858.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,271.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,725.30"
,,,,,,,,,,,,,,,,,,,,,,,"4,485.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,765.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,031.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,795.40"
